1,1.1394,-1.9338,-1.417,-0.17491,-0.34386,1.6696,-0.58943,-2.1212,0.68972,0.52194
1,4.9731,2.7842,1.1772,2.1432,-0.49417,-3.5056,2.2375,0.25629,3.1939,2.0136
1,1.6954,-0.6905,1.7588,-0.78864,0.54167,-0.1289,0.64963,4.6899,-0.28808,-0.80178
1,2.631,-1.347,-0.070295,-2.4679,0.64069,1.0299,1.1388,-0.0080333,1.2235,-0.98034
-1,-3.4544,-1.1146,1.6043,3.0078,1.8393,-1.1145,0.6973,-2.177,1.2013,0.82605
-1,-3.0486,-0.62224,3.2736,-4.0051,-1.3123,-3.144,-2.1022,-3.3076,0.73883,-1.8724
1,0.19656,1.2606,-0.64297,1.2553,-0.42326,-0.57604,0.68421,1.9594,-0.68536,3.2945
-1,-2.4885,-4.2494,0.4511,-4.6421,-5.795,-0.32428,0.22854,-0.83802,-0.72086,0.90891
1,-0.95503,0.23708,-0.83838,-0.96909,3.5037,3.7624,0.36078,1.5926,2.5086,-3.1706
-1,-4.8405,2.3709,0.08977,-2.8839,1.3809,1.4633,3.7833,-0.43426,-0.4179,-2.2776
-1,-5.1709,-1.4195,2.2757,-2.1617,0.46443,-2.9646,2.8991,2.5565,-1.7238,-2.1131
1,1.9335,2.1292,1.826,0.053318,0.62476,0.93585,-0.86018,3.9096,-1.8675,-1.4767
-1,0.058736,0.16303,-2.1666,-2.556,-1.468,-0.73763,-0.04656,-2.6001,-1.4136,-0.94975
1,-2.1332,1.9891,1.0301,-0.69902,3.1711,2.3184,-0.27661,2.0538,-0.43916,-0.95293
1,-1.6995,2.6732,3.0909,2.1457,-0.27517,2.699,-0.21035,0.42237,-0.065542,-0.87303
1,0.55758,0.51831,-2.0324,0.30537,5.2824,0.99268,2.9331,0.57789,-0.76944,-0.41322
1,-2.8432,-1.5539,1.67,1.1418,-0.3525,5.5437,3.5189,-0.055326,-0.27759,1.3402
-1,-1.0636,2.1733,0.48021,0.99225,-2.3861,0.30971,0.65898,-2.729,-2.4229,-2.2327
-1,1.4652,1.4325,-3.5716,0.24555,-3.2465,0.042362,0.79703,-3.9383,2.6592,-0.13636
-1,-2.4112,4.8713,3.8344,0.76767,-0.39263,1.9906,1.7709,-4.8484,-1.8303,-2.8866
-1,-1.0397,2.2144,-3.0044,-0.88779,1.3468,-6.0147,2.9744,-4.1973,-0.23192,-0.47496
1,0.27391,1.368,-3.1071,2.4557,-0.069861,0.35288,-2.3781,-0.098789,0.69347,0.21511
-1,0.94859,-2.4512,-4.5095,-0.18702,-2.2327,-0.22165,0.7241,-2.8925,-3.5817,-1.9302
-1,-1.7473,-0.45132,-0.57029,2.0345,-0.29701,1.4744,-0.53365,-2.6184,1.4122,-1.4712
-1,-3.1735,0.95273,1.1906,0.91493,-1.4972,0.040161,-1.5759,0.22728,-0.91348,1.3734
-1,-0.39485,-0.96465,0.40296,-2.5795,-0.43839,-2.3514,-1.0672,2.1655,0.46258,-0.89219
1,0.78238,0.5769,-0.81329,-2.5236,3.5891,0.10007,3.2934,-0.094213,2.4724,1.1894
1,-0.014807,-3.2013,-1.4768,-0.70142,1.9653,1.824,0.5495,-0.15257,1.0287,-1.0879
-1,2.0568,-1.4448,-2.9534,-0.25553,-2.9889,0.62051,2.507,-2.8052,-3.3673,-0.48865
1,-0.17031,2.33,0.64019,0.85414,-1.5538,-0.03285,2.12,1.3948,-0.52195,-0.63962
1,4.8052,0.76226,-1.2448,-0.86555,0.33716,2.7273,-0.55547,0.32423,3.3971,2.1584
-1,-0.94578,-1.8554,2.4804,-0.051264,-0.22463,-2.748,-5.3085,-1.7618,2.8388,-0.98756
-1,-1.7092,-0.70601,1.4006,-1.5534,-4.7751,-1.4523,2.2257,2.6679,2.3114,0.93527
-1,0.35871,-2.133,1.4208,-1.5314,0.94686,-2.7378,-0.23766,2.5119,-0.61819,0.81445
-1,-0.13545,-0.84191,0.50989,-1.0046,1.1444,-1.4011,-1.6115,-0.86163,1.9512,0.97526
1,1.8249,4.3454,-0.71905,-1.0956,1.7081,-0.36721,1.1808,1.4735,1.6551,-0.24803
1,3.9102,-0.27788,-3.0126,-1.2609,1.5809,2.8041,-0.71333,3.4559,0.28391,-1.0566
-1,2.0424,-0.70069,-2.4207,-5.8091,1.4769,1.0858,-1.9739,-2.398,-4.4543,-1.6734
-1,-1.1535,1.8293,-0.32023,4.1863,-1.3439,-2.2289,-0.51615,0.36439,0.32736,0.33352
-1,0.86006,1.1571,-0.66329,-2.1494,0.18867,2.2817,4.333,-0.28782,-2.7234,-3.2299
1,-1.4118,-2.5867,-0.67206,-2.7339,0.84209,3.2642,2.4154,0.29657,0.76454,-0.46449
-1,-2.225,-2.5227,-1.3549,0.46703,-3.4744,-0.77818,0.3869,0.81997,1.2284,4.293
1,-1.1669,1.1115,-3.223,1.8771,-1.027,1.5423,5.504,-1.6584,-0.67685,3.5241
1,2.8556,0.87954,-0.83607,-1.574,-2.0341,-1.644,0.56096,0.57227,3.3294,0.09727
1,1.0606,-1.3848,0.32341,-2.4874,1.4421,-2.9498,0.2508,2.0636,0.78583,1.1848
-1,-0.9691,-5.3852,-0.96409,0.79124,-3.0768,-1.6393,3.3005,-0.21935,0.14288,-3.0087
1,-0.094076,1.8989,-3.5338,-0.79251,-0.62773,0.76603,2.6936,3.428,1.0442,3.0943
-1,-1.229,-0.51137,-2.258,4.4726,-3.734,0.93176,-0.76476,0.89887,-3.1631,-3.5716
-1,0.60677,3.9424,0.97141,1.2674,-1.4588,0.66748,-1.2395,-1.3591,-1.8107,-0.69621
1,1.7225,4.4584,0.54956,-0.31716,-2.8388,1.6131,1.1851,-1.7541,1.6998,2.6582
-1,-0.98767,-0.045235,2.9911,-0.5313,1.1359,-0.79936,-0.0041441,-4.0612,-2.0778,-0.10062
-1,-1.4703,-3.7908,1.2185,-0.95905,1.5023,-1.9607,-4.4747,3.0217,-0.81922,-0.12378
-1,-1.3443,-0.72983,2.7465,2.1931,-1.4316,0.94803,-0.78213,-0.55371,-0.97078,-1.0341
1,3.4861,-0.31778,1.5367,0.41216,1.2759,0.20433,-0.78871,-0.20679,4.219,0.33188
-1,-1.2927,-0.62286,3.545,-2.3926,-0.30443,-1.5692,-3.2127,1.3094,1.2551,1.5184
